Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
176,-1.1629,20.0133,0.13841,14.262,15.743,17.603,20.013,23.273,27.951,35.286
177,-1.1549,20.0648,0.13858,14.288,15.776,17.644,20.065,23.336,28.023,35.354
178,-1.147,20.1152,0.13873,14.314,15.809,17.685,20.115,23.396,28.091,35.417
179,-1.139,20.1644,0.13889,14.338,15.841,17.725,20.164,23.456,28.159,35.479
180,-1.1311,20.2125,0.13904,14.362,15.871,17.764,20.212,23.514,28.224,35.538
181,-1.1232,20.2595,0.1392,14.385,15.901,17.802,20.26,23.57,28.289,35.597
182,-1.1153,20.3053,0.13934,14.408,15.93,17.839,20.305,23.625,28.35,35.65
183,-1.1074,20.3499,0.13949,14.429,15.958,17.874,20.35,23.679,28.411,35.703
184,-1.0996,20.3934,0.13963,14.45,15.985,17.909,20.393,23.731,28.469,35.752
185,-1.0917,20.4357,0.13977,14.469,16.012,17.943,20.436,23.782,28.525,35.799
186,-1.0838,20.4769,0.13991,14.488,16.037,17.976,20.477,23.832,28.58,35.844
187,-1.076,20.517,0.14005,14.507,16.062,18.008,20.517,23.88,28.634,35.887
188,-1.0681,20.556,0.14018,14.524,16.085,18.039,20.556,23.927,28.684,35.927
189,-1.0603,20.5938,0.14031,14.541,16.108,18.069,20.594,23.972,28.734,35.964
190,-1.0525,20.6306,0.14044,14.557,16.13,18.098,20.631,24.017,28.782,36
191,-1.0447,20.6663,0.14057,14.572,16.151,18.126,20.666,24.06,28.828,36.034
192,-1.0368,20.7008,0.1407,14.586,16.172,18.153,20.701,24.101,28.873,36.066
193,-1.029,20.7344,0.14082,14.6,16.191,18.179,20.734,24.141,28.915,36.094
194,-1.0212,20.7668,0.14094,14.613,16.21,18.205,20.767,24.18,28.956,36.121
195,-1.0134,20.7982,0.14106,14.625,16.228,18.229,20.798,24.218,28.996,36.146
196,-1.0055,20.8286,0.14118,14.636,16.245,18.253,20.829,24.254,29.034,36.169
197,-0.9977,20.858,0.1413,14.647,16.261,18.275,20.858,24.29,29.07,36.19
198,-0.9898,20.8863,0.14142,14.656,16.277,18.297,20.886,24.324,29.105,36.209
199,-0.9819,20.9137,0.14153,14.666,16.291,18.318,20.914,24.356,29.138,36.225
200,-0.974,20.9401,0.14164,14.674,16.305,18.338,20.94,24.388,29.17,36.239
201,-0.9661,20.9656,0.14176,14.682,16.318,18.357,20.966,24.418,29.201,36.254
202,-0.9582,20.9901,0.14187,14.689,16.331,18.376,20.99,24.448,29.23,36.265
203,-0.9503,21.0138,0.14198,14.695,16.343,18.393,21.014,24.476,29.257,36.275
204,-0.9423,21.0367,0.14208,14.701,16.354,18.411,21.037,24.503,29.283,36.281
205,-0.9344,21.0587,0.14219,14.707,16.365,18.427,21.059,24.53,29.308,36.288
206,-0.9264,21.0801,0.1423,14.711,16.375,18.443,21.08,24.555,29.333,36.293
207,-0.9184,21.1007,0.1424,14.716,16.384,18.458,21.101,24.58,29.355,36.296
208,-0.9104,21.1206,0.1425,14.719,16.393,18.472,21.121,24.603,29.376,36.297
209,-0.9024,21.1399,0.14261,14.722,16.401,18.486,21.14,24.626,29.398,36.3
210,-0.8944,21.1586,0.14271,14.725,16.409,18.499,21.159,24.649,29.418,36.299
211,-0.8863,21.1768,0.14281,14.728,16.417,18.512,21.177,24.67,29.436,36.298
212,-0.8783,21.1944,0.14291,14.73,16.424,18.525,21.194,24.691,29.455,36.296
213,-0.8703,21.2116,0.14301,14.731,16.431,18.537,21.212,24.712,29.472,36.293
214,-0.8623,21.2282,0.14311,14.733,16.437,18.548,21.228,24.731,29.489,36.29
215,-0.8542,21.2444,0.1432,14.734,16.443,18.56,21.244,24.75,29.505,36.284
216,-0.8462,21.2603,0.1433,14.734,16.448,18.571,21.26,24.769,29.52,36.279
217,-0.8382,21.2757,0.1434,14.735,16.454,18.581,21.276,24.788,29.536,36.274
218,-0.8301,21.2908,0.14349,14.735,16.459,18.592,21.291,24.805,29.55,36.267
219,-0.8221,21.3055,0.14359,14.735,16.463,18.601,21.306,24.823,29.564,36.261
220,-0.814,21.32,0.14368,14.734,16.468,18.611,21.32,24.84,29.577,36.252
221,-0.806,21.3341,0.14377,14.734,16.473,18.621,21.334,24.856,29.589,36.244
222,-0.798,21.348,0.14386,14.733,16.477,18.63,21.348,24.873,29.602,36.235
223,-0.7899,21.3617,0.14396,14.732,16.48,18.639,21.362,24.889,29.614,36.228
224,-0.7819,21.3752,0.14405,14.731,16.484,18.648,21.375,24.905,29.626,36.219
225,-0.7738,21.3884,0.14414,14.729,16.488,18.657,21.388,24.92,29.637,36.209
226,-0.7658,21.4014,0.14423,14.728,16.491,18.665,21.401,24.935,29.649,36.2
227,-0.7577,21.4143,0.14432,14.726,16.494,18.673,21.414,24.951,29.659,36.19
228,-0.7496,21.4269,0.14441,14.724,16.497,18.681,21.427,24.965,29.67,36.179
